benchmark,job_id,kind,model,pair_type,style_category,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,lpips_content,output,seconds,siglip_content,siglip_style
custom_leakage,leak_7_adversarial,style,flux_redux,adversarial,oil,style,0.42021340131759644,0.7955172061920166,,,0.2406628578901291,0.11472250419143107,0.12996153276271388,0.014462493360042572,0.6490267515182495,0.016691631798907744,0.7955172061920166,0.6490267515182495,0.76162189245224,outputs/flux_redux/leak_7_adversarial_flux_redux_s0.png,17.3,0.44404587149620056,0.8588480353355408
custom_leakage,leak_8_aligned,style,flux_redux,aligned,watercolor,style,0.34525662660598755,0.7194843888282776,,,0.23114769160747528,0.11998039705257289,0.044888646675753506,-0.02247629687190056,0.5804241299629211,0.009733892103234113,0.7194843888282776,0.5804241299629211,0.765857458114624,outputs/flux_redux/leak_8_aligned_flux_redux_s0.png,17.3,0.40715694427490234,0.7638529539108276
custom_leakage,leak_8_adversarial,style,flux_redux,adversarial,impressionist,style,0.34896525740623474,0.7534292936325073,,,0.22800633311271667,0.08079137267276311,0.03941977321508898,0.004766600206494331,0.8075450658798218,0.0181348232886129,0.7534292936325073,0.8075450658798218,0.7492976188659668,outputs/flux_redux/leak_8_adversarial_flux_redux_s0.png,17.3,0.4432166814804077,0.7966264486312866
custom_leakage,leak_9_aligned,style,flux_redux,aligned,abstract,style,0.43120864033699036,0.8562791347503662,,,0.2366742491722107,0.143517519115273,0.0774673268467094,-0.006342264823615551,0.7595798969268799,0.03260769443876689,0.8562791347503662,0.7595798969268799,0.763131320476532,outputs/flux_redux/leak_9_aligned_flux_redux_s0.png,17.3,0.41671425104141235,0.8285625576972961
custom_leakage,leak_9_adversarial,style,flux_redux,adversarial,impressionist,style,0.3151590824127197,0.812255322933197,,,0.2454850673675537,0.11520705256477656,0.031246646249598057,-0.08054449409246445,0.6857696175575256,0.024322276214945718,0.812255322933197,0.6857696175575256,0.8132289052009583,outputs/flux_redux/leak_9_adversarial_flux_redux_s0.png,17.3,0.3469294011592865,0.7792403697967529
custom_leakage,leak_0_aligned,style,flux_ipadapter,aligned,oil,style,0.38003888726234436,0.7427569627761841,,,0.2194952368736267,0.06900437842442039,0.07160357654612673,0.0658215880393982,0.33328235149383545,0.012335345250864506,0.7427569627761841,0.33328235149383545,0.6265358924865723,outputs/flux_ipadapter/leak_0_aligned_flux_ipadapter_s0.png,12.8,0.49538400769233704,0.7335217595100403
custom_leakage,leak_0_adversarial,style,flux_ipadapter,adversarial,watercolor,style,0.4065461754798889,0.788446843624115,,,0.2554624080657959,0.11708159774754645,0.08343842239611753,-0.0282735712826252,0.6176468133926392,0.013601070290954411,0.788446843624115,0.6176468133926392,0.6836449503898621,outputs/flux_ipadapter/leak_0_adversarial_flux_ipadapter_s0.png,12.5,0.5187593698501587,0.8031719923019409
custom_leakage,leak_1_aligned,style,flux_ipadapter,aligned,oil,style,0.4584810137748718,0.7704941034317017,,,0.2292509377002716,0.07040301059391134,0.08904883681671061,0.1090279370546341,0.4466007351875305,0.02086823190393558,0.7704941034317017,0.4466007351875305,0.7601031064987183,outputs/flux_ipadapter/leak_1_aligned_flux_ipadapter_s0.png,12.6,0.40674179792404175,0.765284538269043
custom_leakage,leak_1_adversarial,style,flux_ipadapter,adversarial,watercolor,style,0.4844517409801483,0.8260208368301392,,,0.23504510521888733,0.126580291775433,0.10917407089053788,0.13471992313861847,0.4867466688156128,0.017826391189738458,0.8260208368301392,0.4867466688156128,0.7254873514175415,outputs/flux_ipadapter/leak_1_adversarial_flux_ipadapter_s0.png,12.6,0.509080708026886,0.7705594897270203
custom_leakage,leak_2_aligned,style,flux_ipadapter,aligned,impressionist,style,0.5145586133003235,0.7466237545013428,,,0.22561344504356384,0.11278215881170267,0.032587001451712644,0.22668851912021637,0.7477087378501892,0.012837913101641256,0.7466237545013428,0.7477087378501892,0.7365195751190186,outputs/flux_ipadapter/leak_2_aligned_flux_ipadapter_s0.png,12.6,0.6970376968383789,0.7424666881561279
custom_leakage,leak_2_adversarial,style,flux_ipadapter,adversarial,watercolor,style,0.41140079498291016,0.7467361688613892,,,0.25066930055618286,0.11677041664727685,0.11170613286462655,-0.04823719710111618,0.5193584561347961,0.012153708036109986,0.7467361688613892,0.5193584561347961,0.701728343963623,outputs/flux_ipadapter/leak_2_adversarial_flux_ipadapter_s0.png,12.6,0.4324992299079895,0.6434302926063538
