bucket,experiment,job_id,prompt_key,source_id,spectral_op,style_category,style_id,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,clip_leak_gap,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,leak_gap,lpips_content,output,seconds,siglip_content,siglip_style
prompt_variants,prompt_variants,prompt_leak_0_adversarial_neutral,neutral,mb_140513,none,watercolor,style_watercolor_0,stylization_adversarial,0.72489,0.61738,,,,0.1075,0.18158,0.13456,0.70986,0.21201,0.03822,0.61738,0.21201,0.49785,0.67586,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_0_adversarial_neutral_s0.png,54.2,0.78429,0.54533
prompt_variants,prompt_variants,prompt_leak_0_adversarial_content_preserving,content_preserving,mb_140513,none,watercolor,style_watercolor_0,stylization_adversarial,0.73491,0.60379,,,,0.13112,0.17432,0.12711,0.75732,0.20097,0.03948,0.60379,0.20097,0.55634,0.65596,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_0_adversarial_content_preserving_s0.png,54.1,0.79807,0.53956
prompt_variants,prompt_variants,prompt_leak_0_adversarial_anti_leakage,anti_leakage,mb_140513,none,watercolor,style_watercolor_0,stylization_adversarial,0.52578,0.65989,,,,-0.13411,0.19402,0.13773,0.06238,0.24544,0.06792,0.65989,0.24544,-0.18306,0.83035,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_0_adversarial_anti_leakage_s0.png,54.2,0.61498,0.54034
prompt_variants,prompt_variants,prompt_leak_3_adversarial_neutral,neutral,mb_122896,none,abstract,style_abstract_0,stylization_adversarial,0.86152,0.52408,,,,0.33745,0.05384,0.07734,0.7702,0.07908,0.03516,0.52408,0.07908,0.69112,0.50138,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_3_adversarial_neutral_s0.png,54.0,0.7634,0.5361
prompt_variants,prompt_variants,prompt_leak_3_adversarial_content_preserving,content_preserving,mb_122896,none,abstract,style_abstract_0,stylization_adversarial,0.82941,0.53004,,,,0.29937,0.0431,0.07501,0.81963,0.05961,0.03655,0.53004,0.05961,0.76002,0.41346,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_3_adversarial_content_preserving_s0.png,54.0,0.79125,0.55752
prompt_variants,prompt_variants,prompt_leak_3_adversarial_anti_leakage,anti_leakage,mb_122896,none,abstract,style_abstract_0,stylization_adversarial,0.91604,0.49154,,,,0.4245,0.01681,0.05161,0.90893,0.03171,0.03466,0.49154,0.03171,0.87722,0.19905,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_3_adversarial_anti_leakage_s0.png,53.9,0.89148,0.52645
prompt_variants,prompt_variants,prompt_leak_6_adversarial_neutral,neutral,mb_483587,none,oil,style_oil_0,stylization_adversarial,0.85242,0.49194,,,,0.36048,0.17351,0.13495,0.91466,-0.00227,0.02378,0.49194,-0.00227,0.91693,0.39836,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_6_adversarial_neutral_s0.png,54.0,0.89099,0.55044
prompt_variants,prompt_variants,prompt_leak_6_adversarial_content_preserving,content_preserving,mb_483587,none,oil,style_oil_0,stylization_adversarial,0.82992,0.47877,,,,0.35114,0.1307,0.09374,0.94765,0.00986,0.01816,0.47877,0.00986,0.93779,0.33664,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_6_adversarial_content_preserving_s0.png,54.0,0.88449,0.55601
prompt_variants,prompt_variants,prompt_leak_6_adversarial_anti_leakage,anti_leakage,mb_483587,none,oil,style_oil_0,stylization_adversarial,0.80456,0.47561,,,,0.32894,0.14128,0.10919,0.9417,0.01065,0.01793,0.47561,0.01065,0.93106,0.37884,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_6_adversarial_anti_leakage_s0.png,54.0,0.88188,0.55564
prompt_variants,prompt_variants,prompt_leak_7_adversarial_neutral,neutral,mb_393375,none,oil,style_oil_1,stylization_adversarial,0.95048,0.34149,,,,0.60899,0.07668,0.16356,0.94359,0.06619,0.02123,0.34149,0.06619,0.8774,0.11669,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_7_adversarial_neutral_s0.png,54.1,0.94358,0.39041
prompt_variants,prompt_variants,prompt_leak_7_adversarial_content_preserving,content_preserving,mb_393375,none,oil,style_oil_1,stylization_adversarial,0.95305,0.32748,,,,0.62557,0.05318,0.14778,0.95057,0.06581,0.01817,0.32748,0.06581,0.88476,0.10784,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_7_adversarial_content_preserving_s0.png,54.1,0.95156,0.38555
prompt_variants,prompt_variants,prompt_leak_7_adversarial_anti_leakage,anti_leakage,mb_393375,none,oil,style_oil_1,stylization_adversarial,0.97268,0.31662,,,,0.65606,0.04626,0.14815,0.96722,0.06003,0.01745,0.31662,0.06003,0.90719,0.07573,e50_spectral_kontext_pilot/outputs/prompt_variants/prompt_leak_7_adversarial_anti_leakage_s0.png,54.1,0.96541,0.38602
